p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
21.7878, -0.10124, 3.02152, -79.7633, 135, 0.170321, 0.531411, 2.22418, 1.81771, 1.63694, 1.36208, 1.18564, 0.078258
13.2092, -0.184052, 3.84354, -88.342, 81, 0.133581, 0.508045, 1.67746, 1.25083, 1.10222, 0.789041, 0.770094, 0
91.9896, -0.255082, 6.22235, -1.97047, 573, 1.81526, 0.502676, 2.84967, 2.30547, 2.2759, 2.14688, 1.69775, 0.00967362
71.9339, -0.115332, 2.04641, -22.0262, 492, 0.249239, 0.492698, 2.98786, 1.92994, 1.90071, 1.72242, 1.61815, 0.00434828
70.8074, 0.233433, 1.60828, -23.1527, 437, 0.256554, 0.571027, 2.39554, 2.08643, 1.81439, 1.79292, 1.69592, 0
67.2786, 0.149292, 5.16504, -26.6815, 466, 0.22273, 0.451534, 2.97012, 2.10099, 1.51396, 1.47807, 1.43112, 0.000403835
64.6136, -0.14045, 3.28646, -29.3465, 331, 0.218034, 0.652662, 3.43579, 3.12092, 2.88133, 2.85533, 1.98549, 0.0500751
60.6446, -0.463605, 4.5936, -33.3155, 411, 0.212718, 0.566772, 2.385, 2.31314, 1.84088, 1.70076, 1.65703, 0
59.2145, 0.128549, 4.41685, -34.7456, 468, 0.246205, 0.473716, 2.28896, 2.27674, 2.04553, 1.92997, 1.82875, 0.028521
56.0821, 0.249353, 5.68671, -37.878, 378, 0.228783, 0.519279, 2.45695, 1.68642, 1.50781, 1.40073, 1.32237, 0
47.4162, 0.377042, 2.16131, -46.5439, 372, 0.250476, 0.526846, 2.19669, 1.78726, 1.58473, 1.57754, 1.55433, 0
45.5329, 0.338678, 3.43681, -48.4272, 251, 0.226271, 0.615309, 2.2282, 1.73418, 1.70659, 1.46326, 1.33968, 0.0478496
39.1159, -0.028415, 0.555366, -54.8442, 261, 0.202937, 0.507998, 1.69371, 1.33538, 1.29683, 1.25103, 1.23136, 0.0130294
32.3794, -0.419958, 1.59156, -61.5807, 215, 0.204197, 0.63489, 2.24821, 2.11408, 1.7921, 1.48956, 1.46061, 0.0694774
30.6754, 0.218902, 2.84615, -63.2847, 221, 0.192634, 0.589911, 2.93308, 2.28625, 2.18359, 1.82568, 1.46751, 0.00241354
92.9797, 0.184785, 1.73312, -6.58936, 599, 0.269293, 0.5137, 2.46607, 2.34615, 2.3103, 2.07368, 1.8035, 0
90.3744, 0.255407, 4.53944, -9.19466, 552, 0.2328, 0.51059, 3.39461, 1.96768, 1.81629, 1.64518, 1.63164, 0
78.6825, 0.461924, 3.38634, -20.8865, 465, 0.229855, 0.614707, 2.59129, 2.38139, 1.908, 1.88873, 1.73385, 0.00582733
78.0458, 0.185394, 0.0785174, -21.5232, 482, 2.91145, 0.549619, 4.62868, 3.30829, 2.82162, 2.07796, 2.07458, 0.0156245
72.0873, -0.0247233, 5.09305, -27.4818, 528, 0.275025, 0.480582, 1.97754, 1.7903, 1.61513, 1.60967, 1.4617, 0.00550356
71.3506, -0.306503, 0.466248, -28.2185, 461, 0.271074, 0.553105, 2.46762, 1.94335, 1.90407, 1.44569, 1.3692, 0.0123434
69.4445, -0.256257, 3.38178, -30.1246, 528, 0.239315, 0.46607, 1.72111, 1.63829, 1.61975, 1.61395, 1.34482, 0.00478845
65.892, 0.449475, 4.10778, -33.677, 455, 0.247814, 0.5491, 2.54013, 2.11903, 1.9408, 1.71904, 1.65814, 0
63.2083, -0.0379882, 5.68873, -36.3607, 381, 0.215425, 0.544899, 2.32262, 2.07109, 1.9715, 1.74002, 1.68376, 0.0360458
60.2655, 0.170475, 0.52722, -39.3035, 371, 0.243729, 0.568543, 2.79941, 2.52794, 1.74061, 1.7169, 1.59213, 0
57.7436, -0.337151, 3.87045, -41.8255, 494, 0.264966, 0.437451, 1.77289, 1.55267, 1.52715, 1.40066, 1.24858, 0.00251032
28.7473, 0.310737, 2.56419, -70.8217, 217, 0.223254, 0.487243, 2.52003, 1.66375, 1.4102, 1.31632, 1.14689, 0
16.1275, -0.144723, 2.17679, -83.4415, 162, 0.175443, 0.413527, 1.84272, 1.07983, 0.943957, 0.882478, 0.826843, 0.000966262
16.0461, -0.354064, 2.90267, -83.5229, 108, 0.224111, 0.594301, 1.67846, 1.60998, 1.01862, 1.00514, 0.984328, 0.00377214
15.6971, 0.207975, 3.78063, -83.8719, 71, 0.112763, 0.603734, 1.89656, 1.45954, 1.29436, 1.25243, 1.12333, 0
13.5007, -0.247817, 0.0472349, -86.0684, 89, 2.38809, 0.540027, 2.2296, 1.39633, 0.945472, 0.885792, 0.864106, 0
13.1755, -0.228727, 1.003, -86.3936, 91, 0.16425, 0.48798, 1.13414, 1.05442, 1.04591, 0.927974, 0.891262, 0
95.4298, -0.316155, 2.40853, -14.1343, 623, 0.251134, 0.558069, 2.35584, 2.17409, 2.0731, 2.05991, 1.74165, 0.00447486
89.1645, -0.340761, 4.33728, -20.3996, 513, 0.245044, 0.627919, 6.2422, 2.75212, 2.24142, 2.20928, 1.94663, 0.0981915
88.2588, 0.300586, 3.3328, -21.3053, 526, 0.2563, 0.576855, 3.15122, 2.53233, 2.29277, 1.98526, 1.87719, 0.0225754
87.2315, 0.463517, 4.77202, -22.3326, 630, 0.247377, 0.538466, 2.29305, 1.78593, 1.69846, 1.6154, 1.56926, 0.00244706
81.4553, -0.36909, 1.22679, -28.1088, 550, 0.25185, 0.522149, 4.33214, 2.02239, 1.84933, 1.84788, 1.64037, 0.0084723
81.2129, 0.463992, 1.97716, -28.3512, 573, 0.259331, 0.545053, 2.52643, 2.4378, 2.20644, 2.02771, 1.66981, 0.0210599
80.3003, -0.203927, 5.43202, -29.2638, 529, 0.242278, 0.53179, 2.18451, 2.17501, 1.86549, 1.85481, 1.77331, 0.00291869
77.7124, 0.339107, 0.105937, -31.8517, 517, 0.935558, 0.50137, 2.50429, 1.89632, 1.79293, 1.4661, 1.45365, 0.00334231
75.5878, 0.0545914, 4.20685, -33.9763, 458, 0.261054, 0.532309, 2.97267, 2.59349, 2.34288, 2.08406, 1.79198, 0.0135934
74.4888, -0.108327, 0.793494, -35.0753, 526, 0.266518, 0.474451, 1.49885, 1.49007, 1.48027, 1.47762, 1.43574, 0.000769211
56.7566, -0.343191, 3.17609, -52.8075, 371, 0.192263, 0.530435, 2.07151, 2.0639, 1.66175, 1.40385, 1.3961, 0
52.9382, -0.176176, 5.85944, -56.6259, 335, 0.241613, 0.519002, 2.66505, 2.09859, 1.63166, 1.55295, 1.40193, 0.000416722
51.0231, -0.452677, 0.37235, -58.541, 365, 0.249485, 0.566924, 2.25225, 1.91813, 1.59066, 1.53194, 1.45995, 0
50.0833, -0.465447, 5.02505, -59.4808, 315, 0.210326, 0.53853, 1.70943, 1.53709, 1.46617, 1.30904, 1.28457, 0
44.6829, 0.39858, 1.41078, -64.8812, 260, 0.218741, 0.558537, 2.08934, 2.08365, 1.51406, 1.46041, 1.3663, 0.0460868
40.8992, 0.282138, 5.46495, -68.6649, 306, 0.222843, 0.481167, 1.67404, 1.43813, 1.43767, 1.37952, 1.33357, 0
38.463, 0.468715, 0.715499, -71.1011, 300, 0.21262, 0.499519, 1.58578, 1.31819, 1.28902, 1.19909, 1.17227, 0
27.8622, -0.461318, 3.88412, -81.7019, 217, 0.214575, 0.557243, 1.57732, 1.53156, 1.19955, 1.12637, 1.11428, 0.000777955
19.8762, 0.369622, 2.43354, -89.6879, 110, 0.154075, 0.537194, 1.39903, 1.30336, 1.26861, 1.21535, 1.19175, 0
19.578, 0.069379, 4.87014, -89.9861, 151, 0.140452, 0.416553, 2.06881, 1.47139, 1.24838, 1.21877, 0.897383, 0.0233979
11.7273, -0.456224, 1.86548, -97.8368, 87, 0.152156, 0.488637, 1.94068, 1.16288, 1.07051, 0.711808, 0.66158, 0.0312862
11.2024, 0.0558791, 3.76643, -98.3617, 81, 0.128308, 0.448096, 1.94218, 0.913774, 0.80353, 0.798956, 0.765634, 0
10.6723, -0.0699407, 0.236599, -98.8918, 62, 0.981529, 0.820945, 2.58041, 1.70665, 1.51189, 1.30651, 0.799559, 0
94.6049, -0.124624, 0.637487, -12.6342, 685, 0.269661, 0.490181, 2.8878, 2.62538, 2.60998, 2.37923, 1.87592, 0
84.0769, -0.12377, 5.19122, -23.1622, 547, 0.278719, 0.52548, 2.28486, 2.06214, 1.68842, 1.65244, 1.56986, 0.0171396
77.4943, -0.409892, 4.29747, -29.7448, 529, 0.267177, 0.549605, 2.82365, 2.16023, 1.6818, 1.62284, 1.57009, 0.0131629
60.8687, -0.0544344, 3.24162, -46.3704, 362, 0.254462, 0.548366, 3.15946, 3.05434, 2.06047, 1.90561, 1.58003, 0.00312035
59.4564, 0.481428, 0.642588, -47.7827, 466, 0.244709, 0.512555, 1.75931, 1.43479, 1.4327, 1.3388, 1.24122, 0
56.6772, 0.13475, 4.15446, -50.5619, 436, 0.240999, 0.464567, 2.13343, 2.06714, 1.9294, 1.88153, 1.60033, 0.0210608
55.8976, 0.234563, 5.60198, -51.3415, 302, 0.228892, 0.621085, 2.65699, 2.46292, 2.03283, 1.71622, 1.66081, 0.000857983
55.8594, 0.338257, 2.01483, -51.3796, 422, 0.264644, 0.498745, 2.65506, 1.86968, 1.72212, 1.60573, 1.60099, 0
53.5657, -0.00320531, 6.02581, -53.6733, 307, 0.82537, 0.569848, 1.95711, 1.73193, 1.70773, 1.50253, 1.38919, 0
39.6358, -0.0884543, 1.33019, -67.6032, 320, 0.214773, 0.440398, 2.17303, 1.96823, 1.69386, 1.29229, 1.20915, 0.00386964
36.6038, -0.412638, 3.84248, -70.6352, 235, 0.237157, 0.581013, 2.23014, 1.4886, 1.45953, 1.45883, 1.44187, 0.0152604
29.5517, -0.392755, 0.0942983, -77.6874, 187, 0.192476, 0.591034, 2.25496, 2.14409, 1.70175, 1.45223, 1.16592, 0
22.1834, 0.310344, 5.05633, -85.0557, 170, 0.207001, 0.492964, 1.66115, 1.40291, 1.33697, 1.19734, 0.901789, 0
19.1405, -0.209212, 1.79258, -88.0985, 148, 0.187084, 0.445129, 2.58738, 1.45186, 1.08784, 0.953526, 0.936826, 0
18.72, -0.436046, 2.90822, -88.5191, 121, 0.179578, 0.585, 1.81112, 1.55466, 1.53676, 1.50812, 1.45596, 0
16.6626, 0.325409, 3.50923, -90.5765, 118, 0.208933, 0.462849, 2.11539, 0.952974, 0.934119, 0.912111, 0.81065, 0.00367988
11.2158, -0.0400597, 2.49687, -96.0232, 88, 0.135963, 0.590306, 1.93684, 1.892, 1.28177, 0.961299, 0.724602, 0
