Thu Dec 17 07:03:16 2020    prof.txt

         150531575 function calls (149477974 primitive calls) in 274.147 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27915    0.074    0.000    0.191    0.000 text.py:235(set_rotation_mode)
2520/2490    0.074    0.000    0.516    0.000 gridspec.py:140(get_grid_positions)
50554/27100    0.074    0.000    0.631    0.000 _base.py:700(get_xaxis_transform)
    28583    0.073    0.000    0.158    0.000 text.py:928(set_color)
51148/27430    0.073    0.000    0.619    0.000 _base.py:776(get_yaxis_transform)
     5740    0.073    0.000    0.301    0.000 patches.py:523(_bind_draw_path_function)
    27067    0.071    0.000    0.221    0.000 artist.py:1028(set_zorder)
    13418    0.071    0.000    0.479    0.000 transforms.py:1019(__init__)
   104065    0.071    0.000    0.071    0.000 axis.py:349(<genexpr>)
     2834    0.070    0.000    0.090    0.000 {pandas._libs.lib.infer_dtype}
    64204    0.070    0.000    0.070    0.000 {method 'format' of 'str' objects}
     1384    0.069    0.000    0.069    0.000 {built-in method builtins.compile}
    27333    0.069    0.000    1.710    0.000 font_manager.py:713(_from_any)
    41086    0.069    0.000    0.175    0.000 text.py:1102(set_x)
      689    0.068    0.000   32.827    0.048 _base.py:1038(cla)
    20103    0.068    0.000    0.821    0.000 transforms.py:815(from_extents)
    23963    0.067    0.000    0.120    0.000 {built-in method builtins.sorted}
    33002    0.067    0.000    0.159    0.000 lines.py:1175(set_markeredgewidth)
     2004    0.067    0.000   16.841    0.008 artist.py:1537(setp)
    27227    0.067    0.000    0.177    0.000 text.py:1204(set_usetex)
       20    0.067    0.003    0.067    0.003 {built-in method matplotlib.backends._tkagg.blit}
    13500    0.067    0.000    1.447    0.000 text.py:254(update_from)
5471/5462    0.066    0.000    2.468    0.000 font_manager.py:1252(findfont)
    12074    0.066    0.000    0.278    0.000 stride_tricks.py:204(broadcast_arrays)
4752/4551    0.066    0.000    0.828    0.000 {built-in method builtins.__build_class__}
    33022    0.066    0.000    0.093    0.000 lines.py:618(axes)
    42228    0.066    0.000    0.173    0.000 text.py:1113(set_y)
    49065    0.065    0.000    0.294    0.000 __init__.py:483(flatten)
    11435    0.065    0.000    0.162    0.000 inspect.py:493(unwrap)
    21366    0.064    0.000    0.064    0.000 {built-in method matplotlib._path.affine_transform}
    22363    0.064    0.000    0.137    0.000 posixpath.py:60(isabs)
    42424    0.063    0.000    0.084    0.000 {built-in method builtins.max}
     1600    0.062    0.000    0.576    0.000 lines.py:734(draw)
    21988    0.062    0.000    1.262    0.000 lines.py:1146(set_marker)
      349    0.062    0.000    0.199    0.001 doccer.py:10(docformat)
     1072    0.060    0.000    6.303    0.006 axis.py:1016(_update_ticks)
    33002    0.060    0.000    0.125    0.000 lines.py:1218(set_markersize)
    12713    0.060    0.000    0.238    0.000 patches.py:783(_convert_units)
      544    0.059    0.000    0.059    0.000 {built-in method posix.listdir}
     8802    0.058    0.000    0.303    0.000 core.py:2975(__array_finalize__)
    83799    0.058    0.000    0.058    0.000 fromnumeric.py:2245(_any_dispatcher)
     8123    0.058    0.000    0.196    0.000 inspect.py:544(_finddoc)
     6000    0.057    0.000    0.159    0.000 {method 'compute_feature_importances' of 'sklearn.tree._tree.Tree' objects}
    19970    0.057    0.000    0.070    0.000 _ufunc_config.py:132(geterr)
        2    0.057    0.028    0.078    0.039 cm.py:1(<module>)
    33002    0.056    0.000    0.122    0.000 lines.py:1022(set_antialiased)
      578    0.056    0.000   12.614    0.022 _base.py:4095(get_tightbbox)
     4432    0.056    0.000    0.225    0.000 spines.py:240(_adjust_location)
    33002    0.056    0.000    0.188    0.000 lines.py:486(set_pickradius)
36247/23532    0.056    0.000    0.068    0.000 transforms.py:2334(<lambda>)
    33002    0.056    0.000    0.120    0.000 lines.py:1160(set_markeredgecolor)
     4000    0.056    0.000    1.606    0.000 base.py:221(set_params)
     4168    0.055    0.000   32.088    0.008 axis.py:1375(get_major_ticks)
      429    0.055    0.000    0.172    0.000 histograms.py:677(histogram)
17870/17683    0.055    0.000    0.207    0.000 {built-in method builtins.all}
    24688    0.055    0.000    0.126    0.000 text.py:183(__getstate__)
    62112    0.055    0.000    0.055    0.000 __init__.py:2291(<genexpr>)
 1431/399    0.054    0.000    0.189    0.000 sre_parse.py:493(_parse)
    15782    0.054    0.000    0.509    0.000 transforms.py:309(xmin)
     1300    0.054    0.000    0.924    0.001 _base.py:2512(handle_single_axis)
     3426    0.054    0.000    0.635    0.000 path.py:572(get_extents)
      780    0.054    0.000    0.054    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    33002    0.054    0.000    0.123    0.000 lines.py:531(set_markevery)
    16312    0.053    0.000    0.203    0.000 units.py:58(_is_natively_supported)
     8377    0.053    0.000    0.053    0.000 {built-in method numpy.arange}
    13345    0.053    0.000    0.292    0.000 patches.py:313(_set_edgecolor)
10958/10914    0.053    0.000    0.969    0.000 axis.py:795(reset_ticks)
      147    0.053    0.000    0.065    0.000 backend_agg.py:90(__init__)
4759/4748    0.053    0.000    0.735    0.000 series.py:201(__init__)
     2312    0.053    0.000    1.418    0.001 spines.py:156(get_window_extent)
       40    0.053    0.001    4.213    0.105 parallel.py:925(retrieve)
    20113    0.052    0.000    0.486    0.000 <__array_function__ internals>:2(reshape)
      440    0.052    0.000    0.053    0.000 {function MaskedArray.__reduce__ at 0x7fa5d1443040}
     7665    0.052    0.000    0.327    0.000 axis.py:538(update_position)
      429    0.052    0.000    1.380    0.003 _axes.py:6362(hist)
    12713    0.052    0.000    1.524    0.000 transforms.py:1957(rotate_deg_around)
     2712    0.051    0.000    0.973    0.000 spines.py:31(__init__)
    73216    0.051    0.000    0.051    0.000 artist.py:792(get_visible)
    10699    0.051    0.000    0.138    0.000 _dtype.py:321(_name_get)
     3232    0.051    0.000    0.368    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    18617    0.050    0.000    0.638    0.000 <__array_function__ internals>:2(column_stack)
    33002    0.050    0.000    0.115    0.000 lines.py:1034(set_color)
     7334    0.050    0.000    0.313    0.000 axis.py:467(update_position)
    10986    0.050    0.000    0.425    0.000 shape_base.py:286(hstack)
      678    0.050    0.000   42.986    0.063 _base.py:434(__init__)
    58719    0.050    0.000    0.052    0.000 {method 'setdefault' of 'dict' objects}
