p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
78.7672, -0.200383, 6.25839, -17.892, 519, 3.57298, 0.543222, 2.15718, 2.14074, 1.92355, 1.8455, 1.65224, 0.00497542
60.9305, -0.0946001, 1.94322, -35.7287, 425, 0.228056, 0.472329, 1.62897, 1.35115, 1.33442, 1.28411, 1.22879, 0.0110626
59.6834, -0.0766876, 0.896356, -36.9758, 348, 0.25858, 0.552624, 3.65429, 2.07312, 1.80494, 1.74557, 1.69965, 0.0134836
57.2488, 0.221179, 3.89058, -39.4104, 473, 0.240263, 0.535035, 2.60058, 2.40902, 1.93628, 1.57168, 1.49712, 0
45.2648, -0.150214, 2.51647, -51.3944, 307, 0.224362, 0.514373, 2.27842, 2.12986, 1.72492, 1.49517, 1.41142, 0.0594982
33.2321, 0.250521, 4.6106, -63.4271, 256, 0.220013, 0.455234, 2.04981, 1.51687, 1.50028, 1.40851, 1.2717, 0
29.9133, 0.250434, 5.37337, -66.7459, 192, 0.21018, 0.543878, 1.74914, 1.37923, 1.23382, 1.19767, 1.14235, 0.0401547
24.6772, 0.0570103, 1.51119, -71.982, 148, 0.175901, 0.560845, 1.95629, 1.78625, 1.77195, 1.61751, 1.50079, 0.00296668
23.7806, 0.109716, 0.449627, -72.8786, 162, 0.219067, 0.50597, 2.20176, 1.58959, 1.36444, 1.28464, 1.1817, 0
16.6593, -0.414025, 0.487563, -79.9999, 123, 0.22196, 0.57446, 2.41326, 1.48478, 1.16988, 0.948778, 0.899724, 0.00347781
10.9537, 0.487732, 2.76725, -85.7055, 76, 0.127499, 0.438148, 2.0092, 1.03976, 0.788493, 0.75736, 0.704618, 0
95.0446, -0.42406, 1.1461, -9.02552, 678, 0.252273, 0.513754, 2.53494, 2.26934, 2.20351, 2.18554, 1.65626, 0
91.5635, 0.217836, 4.7463, -12.5065, 583, 0.252325, 0.541796, 2.96991, 2.76745, 2.35815, 2.05847, 1.93308, 0.00170081
88.5773, 0.277511, 2.97602, -15.4928, 551, 0.260577, 0.543419, 3.14144, 2.88197, 2.18919, 1.95245, 1.83492, 0
